inn,year,region,okved,PL_revenue,PL_net_profit,B_assets,B_total_equity,B_shortterm_liab,age,eligible,filed,outlier,B_current_assets,B_cash_equivalents,PL_cost_of_sales,PL_profit_from_sales,PL_before_tax
6658519237,2022,sverdlovsk,41.20,8629.0,-3418.0,70849.0,-5576.0,17864.0,4.0,1.0,1.0,0.0,69445.0,3.0,-1358.0,-1358.0,-2848.0
7447292282,2022,chelyabinsk,46.69.80,110060.0,29130.0,53099.0,32676.0,20423.0,3.0,1.0,1.0,0.0,53099.0,4287.0,-78794.0,31266.0,32020.0
7722368124,2022,moscow city,41.20,110.0,6.0,765.0,149.0,616.0,6.0,1.0,1.0,0.0,765.0,24.0,-32.0,78.0,6.0
5047219164,2022,moscow reg.,86.10,4045.0,1941.0,3422.0,1952.0,1455.0,4.0,1.0,1.0,0.0,3422.0,1464.0,-1922.0,2123.0,2097.0
7816328624,2022,sankt-petersburg,52.29,16991.0,2500.0,13221.0,3358.0,9743.0,6.0,1.0,1.0,0.0,13207.0,579.0,-14265.0,2726.0,2691.0
1215167682,2022,marij el,18.12,892577.0,164091.0,332487.0,260055.0,71843.0,10.0,1.0,1.0,0.0,218736.0,56073.0,-604204.0,226289.0,206251.0
4345274225,2022,kirov,62.09,211.0,-30.0,164.0,32.0,132.0,12.0,1.0,1.0,0.0,164.0,0.0,-219.0,-8.0,-17.0
7716853147,2022,moscow reg.,46.72.20,320505.0,26802.0,77584.0,45521.0,30471.0,5.0,1.0,1.0,0.0,75119.0,4581.0,-288802.0,31703.0,33798.0
7714346247,2022,moscow city,49.40,8629.0,0.0,30846.0,1407.0,26814.0,7.0,1.0,1.0,0.0,26065.0,270.0,-6422.0,263.0,0.0
9721061366,2022,moscow city,86.23,32350.0,2149.0,16323.0,11591.0,2781.0,4.0,1.0,1.0,0.0,11530.0,3454.0,-29582.0,2768.0,2510.0
1659197470,2022,tatarstan,46.73,77898.0,4600.0,43068.0,5637.0,17146.0,3.0,1.0,1.0,0.0,43068.0,372.0,-71686.0,6212.0,5750.0
7422046239,2022,chelyabinsk,46.90,36181.0,384.0,91855.0,53844.0,36060.0,12.0,1.0,1.0,0.0,91329.0,1370.0,-34104.0,656.0,462.0
7813662363,2022,sankt-petersburg,46.90,1189.0,3.0,900.0,3.0,897.0,0.0,1.0,1.0,0.0,900.0,109.0,-1008.0,22.0,4.0
7711006517,2022,moscow city,96.01,37362.0,9429.0,31001.0,23746.0,7254.0,27.0,1.0,1.0,0.0,15059.0,926.0,-46184.0,-8822.0,7985.0
2463214123,2022,krasnoyarsk,46.46.10,12345.0,232.0,11281.0,2872.0,8409.0,13.0,1.0,1.0,0.0,10821.0,0.0,-12387.0,-42.0,349.0
4027012843,2022,kaluga,64.99.10,35.0,3.0,121.0,79.0,42.0,30.0,1.0,1.0,0.0,119.0,8.0,-5.0,-2.0,3.0
6321300712,2022,samara,45.30,8629.0,-8.0,98.0,-18.0,116.0,10.0,1.0,1.0,0.0,85.0,241.0,-8.0,-8.0,-8.0
5614006684,2022,orenburg,68.32.20,0.0,0.0,0.0,984.0,1909.0,27.0,1.0,1.0,0.0,4065.0,241.0,-6422.0,0.0,0.0
4501122769,2022,kurgan,68.32.10,4.0,36.0,2764.0,2334.0,430.0,16.0,1.0,1.0,0.0,2764.0,2219.0,-6422.0,4.0,39.0
5260009580,2022,nizhni novgorod,47.73,56969.0,-4471.0,13306.0,-1344.0,14650.0,31.0,1.0,1.0,0.0,13119.0,5118.0,-39649.0,-3196.0,-3898.0
5044113811,2022,moscow reg.,86.10,8629.0,317.0,61203.0,60171.0,1032.0,4.0,1.0,1.0,0.0,21656.0,3559.0,-6422.0,263.0,337.0
6512002918,2022,sakhalin,03.11,867677.0,263721.0,963214.0,887929.0,75285.0,25.0,1.0,1.0,0.0,865742.0,299416.0,-510443.0,357234.0,263721.0
7811753657,2022,sankt-petersburg,46.75,363600.0,6844.0,139780.0,8049.0,131731.0,2.0,1.0,1.0,0.0,135039.0,39844.0,-354335.0,9265.0,8564.0
3525468323,2022,vologda,41.20,227.0,23.0,1116.0,210.0,906.0,1.0,1.0,1.0,0.0,1116.0,0.0,-183.0,44.0,38.0
3308001066,2022,vladimir,41.20,40457.0,57.0,17246.0,1842.0,15395.0,23.0,1.0,1.0,0.0,17105.0,39.0,-40242.0,215.0,72.0
7839436270,2022,sankt-petersburg,72.19,33097.0,1345.0,52534.0,11147.0,41387.0,12.0,1.0,1.0,0.0,37367.0,12085.0,-1771.0,585.0,1453.0
7720661590,2022,moscow city,46.73,8629.0,-680.0,479.0,-1817.0,1497.0,13.0,1.0,1.0,0.0,479.0,9.0,-6422.0,263.0,-680.0
5835107095,2022,penza,56.10,2754.0,-1138.0,5222.0,3109.0,2113.0,8.0,1.0,1.0,0.0,5074.0,391.0,-2180.0,-1186.0,-1102.0
3801083389,2022,irkutsk,55.10,0.0,-432.0,119.0,102.0,17.0,16.0,1.0,1.0,0.0,88.0,68.0,0.0,-407.0,-432.0
3819015238,2022,irkutsk,46.73.10,10390.0,331.0,90234.0,49318.0,40916.0,17.0,1.0,1.0,0.0,90234.0,221.0,-3369.0,-563.0,414.0
7449034343,2022,chelyabinsk,46.90,0.0,-596.0,11092.0,1221.0,9871.0,21.0,1.0,1.0,0.0,10984.0,0.0,-551.0,-551.0,-497.0
5022056091,2022,moscow reg.,46.73.60,23790.0,165.0,7658.0,3106.0,4552.0,4.0,1.0,1.0,0.0,7658.0,3.0,-10767.0,96.0,210.0
6321453620,2022,samara,69.20,4512.0,443.0,1047.0,905.0,141.0,4.0,1.0,0.0,0.0,1046.0,504.0,-3232.0,1280.0,1235.0
3328027471,2022,vladimir,41.20,8629.0,-98.0,46.0,-88.0,134.0,1.0,1.0,1.0,0.0,46.0,4.0,-98.0,-98.0,-98.0
1421009755,2022,yakutia,68.32.10,123938.0,11930.0,118733.0,14331.0,104402.0,8.0,1.0,1.0,0.0,93345.0,17807.0,-94040.0,12754.0,13256.0
7720329313,2022,moscow city,46.71,3478286.0,39882.0,206151.0,66139.0,116512.0,6.0,1.0,1.0,0.0,206104.0,330.0,-3301173.0,67664.0,49865.0
3301026664,2022,vladimir,35.12,0.0,0.0,0.0,984.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,263.0,152.0
0265043306,2022,bashkortostan,79.11,100.0,-1089.0,198.0,-4047.0,3712.0,6.0,1.0,1.0,0.0,198.0,95.0,-1148.0,-1048.0,-1076.0
9703004037,2022,moscow city,70.22,8629.0,-911.0,199560.0,191050.0,8510.0,3.0,1.0,1.0,0.0,4710.0,1697.0,-6422.0,-809.0,-911.0
3525112221,2022,vologda,68.20,51227.0,8297.0,122586.0,13781.0,108805.0,21.0,1.0,1.0,0.0,11510.0,658.0,-30660.0,20567.0,10785.0
6229037080,2022,ryazan,96.09,0.0,0.0,0.0,0.0,1909.0,18.0,1.0,1.0,0.0,0.0,241.0,-6422.0,0.0,0.0
9701161161,2022,moscow city,68.31,8629.0,-3.0,0.0,0.0,1909.0,2.0,1.0,1.0,0.0,0.0,0.0,-6422.0,263.0,-3.0
6952322274,2022,tver,68.32,3650.0,2.0,1637.0,-18.0,1655.0,1.0,1.0,1.0,0.0,1637.0,0.0,-2558.0,1092.0,2.0
1821016475,2022,udmurtia,47.11,167863.0,11804.0,24275.0,12545.0,11730.0,1.0,1.0,1.0,0.0,24275.0,7087.0,-152733.0,15130.0,13764.0
3123387995,2022,belgorod,46.46.20,814277.0,158762.0,219214.0,206993.0,114.0,6.0,1.0,1.0,0.0,205563.0,92231.0,-600553.0,201864.0,199006.0
7721502105,2022,moscow reg.,68.20,3088.0,7.0,54782.0,4662.0,428.0,19.0,1.0,1.0,0.0,8094.0,31.0,-3023.0,65.0,10.0
8603237639,2022,khanty-mansijsk,25.62,8554.0,476.0,9188.0,730.0,8458.0,3.0,1.0,1.0,0.0,9188.0,583.0,-7918.0,636.0,533.0
7724883995,2022,moscow city,46.38.10,0.0,-1273.0,18048.0,14800.0,1238.0,9.0,1.0,1.0,0.0,18048.0,1.0,-1265.0,-1265.0,-1273.0
7706165840,2022,moscow city,69.10,5490.0,102.0,643.0,495.0,148.0,24.0,1.0,1.0,0.0,643.0,537.0,-5336.0,154.0,129.0
7707619052,2022,moscow city,93.20,699.0,-4519.0,4860.0,4799.0,61.0,15.0,1.0,1.0,0.0,4861.0,4562.0,-5551.0,-4852.0,-4223.0
2105004461,2022,chuvashia,43.21,149.0,35.0,12.0,10.0,2.0,16.0,1.0,1.0,0.0,12.0,12.0,-114.0,35.0,35.0
7705169175,2022,tver,01.70,3102.0,-2.0,292.0,-25191.0,1909.0,25.0,1.0,1.0,0.0,204.0,204.0,-6422.0,-2.0,-2.0
7311005660,2022,ulyanovsk,01.11.10,29013.0,13549.0,61968.0,58969.0,2999.0,17.0,1.0,1.0,0.0,24254.0,130.0,-15927.0,13086.0,13549.0
5042072736,2022,moscow reg.,10.13,0.0,0.0,89503.0,89503.0,1909.0,19.0,1.0,0.0,0.0,3.0,241.0,0.0,263.0,0.0
3201002204,2022,bryansk,68.20,30488.0,3212.0,66107.0,59300.0,6807.0,29.0,1.0,1.0,0.0,36794.0,6536.0,-2.0,4968.0,4102.0
1838019266,2022,udmurtia,16.10,46571.0,1441.0,64774.0,12061.0,25853.0,6.0,1.0,1.0,0.0,39756.0,53.0,-40895.0,5676.0,2063.0
6658362579,2022,sverdlovsk,52.29,14135.0,2480.0,3009.0,2489.0,520.0,12.0,1.0,1.0,0.0,3009.0,2688.0,-11377.0,2758.0,2711.0
5258148353,2022,nizhni novgorod,46.72.20,18939.0,488.0,9415.0,375.0,9040.0,2.0,1.0,1.0,0.0,9415.0,442.0,-14928.0,638.0,610.0
9703019499,2022,moscow city,61.10,999.0,865.0,952.0,892.0,60.0,2.0,1.0,1.0,0.0,952.0,952.0,-64.0,935.0,925.0
4345474062,2022,kirov,41.20,3574.0,152.0,2181.0,1407.0,774.0,5.0,1.0,1.0,0.0,2181.0,738.0,-3330.0,244.0,217.0
6381003922,2022,samara,70.22,1409.0,-4290.0,45753.0,35435.0,10317.0,21.0,1.0,1.0,0.0,1058.0,18.0,-583.0,-7315.0,-4094.0
7609029489,2022,yaroslavl,68.32,2121.0,-5.0,384.0,287.0,97.0,7.0,1.0,1.0,0.0,384.0,85.0,-2021.0,100.0,16.0
5612049347,2022,orenburg,84.23,2397.0,-678.0,625.0,618.0,7.0,11.0,1.0,1.0,0.0,625.0,245.0,-3052.0,-655.0,-655.0
3108000241,2022,belgorod,42.99,13166.0,968.0,27888.0,27682.0,206.0,22.0,1.0,1.0,0.0,26000.0,2407.0,-12984.0,182.0,1623.0
4345224922,2022,kirov,46.77,1128621.0,8340.0,109957.0,81216.0,28741.0,14.0,1.0,1.0,0.0,88146.0,41.0,-1106050.0,13968.0,10504.0
7807395078,2022,sankt-petersburg,70.22,114.0,105.0,215.0,215.0,1909.0,8.0,1.0,1.0,0.0,215.0,2.0,-6422.0,114.0,112.0
7806489213,2022,sankt-petersburg,52.20,8629.0,-67.0,635.0,527.0,108.0,10.0,1.0,1.0,0.0,635.0,2.0,-6422.0,-67.0,-67.0
7807060875,2022,sankt-petersburg,49.40,613.0,74.0,16817.0,14360.0,2457.0,18.0,1.0,1.0,0.0,16814.0,1.0,-37.0,-202.0,120.0
7805740191,2022,sankt-petersburg,68.20,12280.0,172.0,4825.0,4359.0,466.0,4.0,1.0,1.0,0.0,4037.0,394.0,-12162.0,118.0,215.0
7736684909,2022,moscow city,73.20.10,31105.0,-1863.0,4112.0,83.0,3629.0,8.0,1.0,1.0,0.0,3946.0,187.0,-31918.0,-813.0,-896.0
2540011113,2022,primorsky terr.,46.90,668.0,208.0,2645.0,2486.0,159.0,24.0,1.0,1.0,0.0,2645.0,89.0,-414.0,254.0,231.0
3123325861,2022,belgorod,45.10,74268.0,2190.0,72602.0,15435.0,56948.0,9.0,1.0,1.0,0.0,70022.0,81.0,-71162.0,3106.0,2828.0
7703732498,2022,moscow city,68.32,28079.0,5738.0,234060.0,232256.0,1804.0,12.0,1.0,1.0,0.0,20429.0,823.0,-22009.0,6070.0,6573.0
5024221801,2022,moscow reg.,47.19,8629.0,-288.0,9041.0,12.0,29.0,0.0,1.0,1.0,0.0,9041.0,30.0,-157.0,-157.0,-288.0
7723896409,2022,sverdlovsk,46.46.20,89595.0,36616.0,159299.0,146657.0,12642.0,8.0,1.0,1.0,0.0,151447.0,992.0,-56684.0,32911.0,37202.0
6453105524,2022,saratov,58,17054.0,998.0,34983.0,12715.0,1774.0,13.0,1.0,1.0,0.0,11955.0,312.0,-33149.0,-16095.0,1493.0
3702269537,2022,ivanovo,46.38.10,57403.0,2953.0,6120.0,2963.0,3157.0,0.0,1.0,1.0,0.0,6120.0,71.0,-53796.0,3607.0,3584.0
0277122111,2022,bashkortostan,46.14.10,6149.0,177.0,737.0,632.0,105.0,10.0,1.0,1.0,0.0,737.0,251.0,-3698.0,323.0,198.0
4705061088,2022,leningrad,68.20.20,33209.0,37635.0,6033155.0,80101.0,1793736.0,9.0,1.0,1.0,0.0,4841875.0,486876.0,-33144.0,-624.0,47072.0
7842129953,2022,sankt-petersburg,46.69.90,1763.0,-365.0,11918.0,-2064.0,5808.0,5.0,1.0,1.0,0.0,11917.0,354.0,-2172.0,-409.0,-365.0
7810938782,2022,sankt-petersburg,80.10,1076.0,936.0,1243.0,1046.0,197.0,0.0,1.0,1.0,0.0,1243.0,250.0,-63.0,1013.0,1005.0
9701025634,2022,moscow reg.,43.99,538.0,16.0,801.0,453.0,348.0,7.0,1.0,1.0,0.0,801.0,156.0,-417.0,121.0,35.0
7842387680,2022,sankt-petersburg,69.10,11468.0,6.0,6464.0,4463.0,2002.0,14.0,1.0,1.0,0.0,4656.0,666.0,-6422.0,130.0,130.0
5835128828,2022,penza,47.72,622.0,3.0,86.0,86.0,1909.0,4.0,1.0,1.0,0.0,86.0,11.0,-561.0,61.0,40.0
7724402860,2022,moscow city,46.52.10,15798.0,569.0,585.0,544.0,41.0,5.0,1.0,1.0,0.0,507.0,248.0,-14585.0,1213.0,726.0
2464251664,2022,krasnoyarsk,68.31.11,1108.0,383.0,1830.0,1795.0,35.0,9.0,1.0,0.0,0.0,1830.0,143.0,-6422.0,422.0,416.0
2463115838,2022,krasnoyarsk,45.11.20,575668.0,22254.0,107950.0,24073.0,47877.0,4.0,1.0,1.0,0.0,70071.0,642.0,-519455.0,27403.0,27809.0
7453314093,2022,chelyabinsk,46.69,0.0,0.0,8392.0,8144.0,248.0,5.0,1.0,1.0,0.0,8392.0,85.0,0.0,263.0,0.0
5504082763,2022,omsk,69.10,8629.0,21.0,46686.0,14141.0,32545.0,19.0,1.0,1.0,0.0,35424.0,35424.0,-6422.0,263.0,21.0
7722276900,2022,moscow city,80.10,660.0,154.0,3911.0,502.0,3409.0,20.0,1.0,0.0,0.0,3911.0,137.0,-469.0,191.0,174.0
5190046779,2022,murmansk,46.13,6083.0,1134.0,8302.0,6246.0,2056.0,7.0,1.0,1.0,0.0,8302.0,2726.0,-4790.0,1293.0,1192.0
6163221938,2022,rostov,69.10,747.0,585.0,630.0,10.0,620.0,1.0,1.0,1.0,0.0,630.0,630.0,-6422.0,747.0,630.0
7202252660,2022,tyumen,46.73,57971.0,353.0,55289.0,2340.0,29683.0,9.0,1.0,1.0,0.0,24459.0,13718.0,-50407.0,683.0,441.0
7718696370,2022,moscow city,41.20,41392.0,301.0,20149.0,1846.0,18303.0,14.0,1.0,1.0,0.0,18911.0,1438.0,-40873.0,519.0,382.0
8616012865,2022,khanty-mansijsk,42.11,3427.0,2807.0,3427.0,3427.0,0.0,4.0,1.0,1.0,0.0,3427.0,3427.0,-298.0,3129.0,2807.0
6234084198,2022,ryazan,93.13,57663.0,17415.0,46790.0,28098.0,16582.0,12.0,1.0,1.0,0.0,46622.0,1423.0,-6422.0,20295.0,18867.0
3808002847,2022,irkutsk,95.29.10,6449.0,2217.0,6263.0,6091.0,172.0,29.0,1.0,1.0,0.0,5826.0,114.0,-4134.0,2315.0,2412.0
7801090344,2022,sankt-petersburg,63.11.10,11192.0,29.0,1761.0,487.0,1200.0,25.0,1.0,1.0,0.0,1761.0,322.0,-11020.0,172.0,146.0
5406258641,2022,novosibirsk,68.32,41735.0,-197.0,8779.0,2552.0,6227.0,19.0,1.0,1.0,0.0,7446.0,252.0,-41777.0,-42.0,224.0
7717800109,2022,moscow city,59.11,124197.0,23172.0,93632.0,83031.0,7681.0,8.0,1.0,1.0,0.0,72683.0,45374.0,-108885.0,15312.0,28265.0
5217000559,2022,nizhni novgorod,56.10,4646.0,399.0,633.0,-627.0,1260.0,16.0,1.0,1.0,0.0,225.0,4.0,-2495.0,399.0,399.0
3245012680,2022,bryansk,41.20,10030.0,1353.0,1734.0,1359.0,375.0,5.0,1.0,1.0,0.0,1733.0,1024.0,-6082.0,3948.0,1946.0
7813123192,2022,sankt-petersburg,68.20,19927.0,-8549.0,157429.0,153330.0,3600.0,23.0,1.0,1.0,0.0,18637.0,17481.0,-28461.0,-8534.0,-7709.0
7726456702,2022,moscow reg.,46.15,25945.0,374.0,5500.0,2474.0,2569.0,3.0,1.0,1.0,0.0,5424.0,2010.0,-10624.0,1069.0,594.0
3128046861,2022,belgorod,80.10,27796.0,1457.0,8468.0,5655.0,2813.0,18.0,1.0,1.0,0.0,8218.0,4607.0,-25825.0,1971.0,1776.0
1103025400,2022,komi,61.10,522.0,-632.0,459.0,-742.0,1201.0,21.0,1.0,1.0,0.0,459.0,36.0,-686.0,-598.0,-632.0
4345316612,2022,kirov,46.69,32346.0,-2623.0,147181.0,69507.0,77674.0,11.0,1.0,1.0,0.0,128033.0,3038.0,-9561.0,77.0,-2444.0
2311296065,2022,krasnodar,72.19,782.0,351.0,418.0,176.0,56.0,3.0,1.0,1.0,0.0,418.0,60.0,-387.0,395.0,379.0
2224207990,2022,altai terr.,71.11,25313.0,16459.0,11759.0,11132.0,627.0,1.0,1.0,1.0,0.0,11759.0,139.0,-8435.0,16878.0,17159.0
1435114076,2022,yakutia,68.31.51,4516.0,1073.0,7023.0,7023.0,0.0,22.0,1.0,1.0,0.0,7023.0,295.0,-3387.0,1129.0,1129.0
3123401054,2022,belgorod,46.73,29495.0,781.0,9738.0,3224.0,6514.0,6.0,1.0,1.0,0.0,9738.0,1452.0,-28490.0,1005.0,976.0
5308003733,2022,novgorod,02.20,12046.0,158.0,9267.0,9225.0,42.0,7.0,1.0,1.0,0.0,2644.0,981.0,-11888.0,158.0,158.0
3619007085,2022,voronezh,68.20.20,13.0,-1392.0,1275.0,1232.0,42.0,21.0,1.0,1.0,0.0,1212.0,5.0,-1892.0,-1879.0,-1372.0
7802186169,2022,sankt-petersburg,46.71.20,1453488.0,11406.0,455630.0,146280.0,209350.0,20.0,1.0,1.0,0.0,437895.0,39678.0,-1304870.0,54194.0,14393.0
7810345831,2022,sankt-petersburg,41.20,1325.0,6.0,1875.0,115.0,1760.0,7.0,1.0,1.0,0.0,1875.0,0.0,-1217.0,13.0,7.0
7720450310,2022,moscow city,46.90,856.0,91.0,652.0,191.0,461.0,4.0,1.0,0.0,0.0,652.0,241.0,-436.0,116.0,107.0
7733384103,2022,moscow city,46.74.30,15625.0,618.0,3269.0,817.0,2452.0,0.0,1.0,1.0,0.0,3270.0,253.0,-14819.0,806.0,772.0
5261063318,2022,nizhni novgorod,68.32.10,7.0,7.0,158.0,984.0,158.0,14.0,1.0,1.0,0.0,158.0,98.0,-6422.0,7.0,7.0
5907017037,2022,perm,96.04,6781.0,48.0,253.0,-1685.0,607.0,7.0,1.0,1.0,0.0,253.0,253.0,-6625.0,156.0,116.0
5406301760,2022,novosibirsk,62.01,10789.0,1671.0,6973.0,5799.0,1174.0,17.0,1.0,1.0,0.0,6973.0,1278.0,-8799.0,1990.0,1906.0
5612172492,2022,orenburg,43.21,8187.0,-84.0,3316.0,429.0,2887.0,3.0,1.0,1.0,0.0,3295.0,1320.0,-6600.0,-86.0,-105.0
2724233003,2022,khabarovsk,86.10,2684.0,220.0,943.0,230.0,578.0,3.0,1.0,1.0,0.0,943.0,943.0,-1974.0,220.0,220.0
2902057464,2022,arkhangelsk,33.12,10971.0,1028.0,9129.0,5111.0,4018.0,15.0,1.0,1.0,0.0,5430.0,1895.0,-9783.0,1188.0,1172.0
7802131040,2022,sankt-petersburg,45.20,0.0,-24.0,2.0,-58.0,0.0,20.0,1.0,1.0,0.0,2.0,2.0,-6.0,-6.0,-24.0
6229063072,2022,ryazan,68.20,6574.0,395.0,22130.0,11694.0,5045.0,14.0,1.0,1.0,0.0,7982.0,1163.0,-6051.0,523.0,494.0
7713520319,2022,moscow city,73.11,9846.0,229.0,399819.0,5623.0,394197.0,18.0,1.0,1.0,0.0,399819.0,1951.0,-855.0,333.0,293.0
7817078198,2022,sankt-petersburg,22.29.20,1976465.0,239580.0,1531817.0,1435326.0,83298.0,4.0,1.0,1.0,0.0,1051929.0,96904.0,-1436486.0,388818.0,303155.0
7804603097,2022,sankt-petersburg,82.30,8629.0,0.0,5.0,-15.0,1909.0,5.0,1.0,1.0,0.0,5.0,5.0,-6422.0,263.0,0.0
7702413690,2022,moscow city,33.20,624898.0,56889.0,302301.0,84359.0,216011.0,5.0,1.0,1.0,0.0,292934.0,9272.0,-484017.0,85500.0,73618.0
7839027711,2022,sankt-petersburg,71.11.10,18800.0,298.0,20075.0,3226.0,16850.0,7.0,1.0,1.0,0.0,20074.0,2499.0,-6114.0,2442.0,707.0
7701100983,2022,moscow city,69.20,12148.0,609.0,3880.0,2473.0,1407.0,7.0,1.0,1.0,0.0,3880.0,174.0,-11149.0,999.0,757.0
2336018479,2022,krasnodar,10.72,8629.0,-90.0,532.0,-1725.0,1909.0,16.0,1.0,1.0,0.0,4065.0,241.0,-90.0,-90.0,-90.0
7801559555,2022,sankt-petersburg,70.22,15111.0,219.0,35877.0,-2033.0,37910.0,11.0,1.0,1.0,0.0,35254.0,8.0,-15105.0,6.0,272.0
7446057399,2022,chelyabinsk,85.41,14.0,1271.0,2307.0,673.0,141.0,13.0,1.0,1.0,0.0,2307.0,1995.0,-4273.0,-4259.0,1271.0
