inn,year,region,okved,PL_revenue,PL_net_profit,B_assets,B_total_equity,B_shortterm_liab,CF_balance_operating,age,eligible,filed,outlier,B_cash_equivalents,B_longterm_debt,PL_cost_of_sales,PL_profit_from_sales,PL_before_tax,CF_balance
5507232840,2023,omsk,33.12,15622.0,939.0,5194.0,5168.0,26.0,,11.0,1.0,1.0,0.0,2139.0,,-14517.0,1105.0,1105.0,
4632051568,2023,kursk,71.12,44838.0,1304.0,18280.0,13338.0,4942.0,-80.0,18.0,1.0,1.0,0.0,17273.0,,-40742.0,4096.0,2575.0,-80.0
7448240625,2023,chelyabinsk,49.42,,,,,,,1.0,1.0,0.0,0.0,,,,,,
5019023339,2023,moscow reg.,84.24,,,,,,,12.0,1.0,0.0,0.0,,,,,,
7724457475,2023,moscow city,68.20,,,,,,,5.0,1.0,0.0,0.0,,,,,,
0212006188,2023,bashkortostan,01.11.10,64812.0,355.0,198481.0,66530.0,120691.0,,16.0,1.0,1.0,0.0,1374.0,1826.0,-61233.0,375.0,355.0,
0267023947,2023,bashkortostan,38.11,900.0,-21207.0,23201.0,-25066.0,48219.0,,2.0,1.0,1.0,0.0,1240.0,48.0,-1355.0,-455.0,-19845.0,
7718616102,2023,moscow city,41.20,780846.0,16.0,55696.0,7273.0,48413.0,,17.0,1.0,1.0,0.0,83.0,0.0,-767220.0,1428.0,20.0,
6670511202,2023,sverdlovsk,43.21,,,,,,,1.0,1.0,0.0,0.0,,,,,,
6658291247,2023,sverdlovsk,46.90,,,,,,,16.0,1.0,0.0,0.0,,,,,,
7327024933,2023,ulyanovsk,69.20.20,,,10.0,10.0,,,22.0,1.0,1.0,0.0,,,,,,
1660318514,2023,tatarstan,46.31,311161.0,1151.0,42960.0,1403.0,23862.0,,5.0,1.0,1.0,0.0,1106.0,17695.0,-307442.0,3719.0,1339.0,0.0
7731599030,2023,moscow city,49.30,,,,,,,15.0,1.0,0.0,0.0,,,,,,
6163135453,2023,rostov,71.20.20,15725.0,314.0,7208.0,5761.0,501.0,,9.0,1.0,1.0,0.0,2853.0,946.0,-14793.0,932.0,866.0,
7734566811,2023,moscow city,46.60,2850.0,50.0,5163.0,60.0,5103.0,160.0,16.0,1.0,1.0,0.0,198.0,,-2787.0,63.0,63.0,160.0
5009115573,2023,moscow reg.,49.42,2095.0,3.0,222.0,69.0,153.0,,5.0,1.0,1.0,0.0,29.0,0.0,-2091.0,4.0,4.0,
6318069654,2023,samara,62.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9703065537,2023,moscow city,46.90,,,,,,,2.0,1.0,0.0,0.0,,,,,,
5905228360,2023,perm,68.32,,,1901.0,1697.0,204.0,,19.0,1.0,1.0,0.0,1468.0,,,,,
4632275222,2023,kursk,46.73,,,,,,,3.0,1.0,0.0,0.0,,,,,,
5524006746,2023,omsk,49.31.20,,,,,,,7.0,1.0,0.0,0.0,,,,,,
3419012120,2023,volgograd,81.29.90,,,0.0,0.0,,,14.0,1.0,1.0,0.0,,,,,,
0274915017,2023,bashkortostan,28.14,,,0.0,,,,7.0,1.0,1.0,0.0,,,,,,
4501117046,2023,kurgan,46.40,3062.0,1764.0,1064.0,893.0,171.0,,18.0,1.0,1.0,0.0,231.0,,-863.0,1878.0,1864.0,
6154133594,2023,rostov,46.33,270593.0,9295.0,144045.0,25891.0,54157.0,253640.0,9.0,1.0,1.0,0.0,1076.0,63997.0,-248398.0,13632.0,11627.0,285138.0
5042145529,2023,moscow reg.,46.12,,,,,,,6.0,1.0,0.0,0.0,,,,,,
7327039016,2023,ulyanovsk,68.31,230827.0,85412.0,713775.0,413254.0,34171.0,-77672.0,17.0,1.0,1.0,0.0,818.0,266350.0,-52923.0,173224.0,90866.0,-552.0
4345413648,2023,kirov,68.32.10,78991.0,226.0,20543.0,2682.0,17861.0,,8.0,1.0,1.0,0.0,136.0,,-62077.0,2539.0,1012.0,
6829066075,2023,tambov,56.10,,,,,,,13.0,1.0,0.0,0.0,,,,,,
2631039878,2023,stavropol,41.20,,-2393.0,218.0,218.0,0.0,-23914.0,4.0,1.0,1.0,0.0,0.0,0.0,,-5.0,-2390.0,-5.0
7723839866,2023,moscow city,46.73.30,,,,,,,11.0,1.0,0.0,0.0,,,,,,
1644103399,2023,tatarstan,43.21,,,0.0,,,,0.0,1.0,1.0,0.0,,,,,,
9303029446,2023,donetsk,,,,,,,,8.0,1.0,0.0,0.0,,,,,,
9721196211,2023,moscow city,93.12,5578.0,146.0,147.0,146.0,1.0,68.0,0.0,1.0,1.0,0.0,68.0,,,317.0,316.0,68.0
7727436547,2023,moscow city,46.76.30,,,,,,,4.0,1.0,0.0,0.0,,,,,,
1686020384,2023,tatarstan,43.99.90,,,,,,,1.0,1.0,0.0,0.0,,,,,,
6316285515,2023,samara,63.11,0.0,0.0,15.0,15.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,
7723885090,2023,moscow city,68.20,720.0,61.0,4526.0,4446.0,80.0,,10.0,1.0,1.0,0.0,49.0,,-170.0,104.0,75.0,
2122007448,2023,chuvashia,56.21,163.0,1.0,11.0,11.0,0.0,,8.0,1.0,1.0,0.0,11.0,,-162.0,1.0,1.0,
2461041891,2023,krasnoyarsk,85.41.90,,,6691.0,,1451.0,,5.0,1.0,1.0,0.0,2866.0,14.0,,,,
7842327793,2023,sankt-petersburg,68.32,,,3647.0,,0.0,,17.0,1.0,1.0,0.0,3597.0,,,,,
9731095822,2023,moscow city,49.41,,,,,,,1.0,1.0,0.0,0.0,,,,,,
2225111930,2023,altai terr.,16.29.10,5376.0,-2712.0,3432.0,-2502.0,2680.0,,13.0,1.0,1.0,0.0,119.0,3254.0,-2980.0,-2589.0,-2664.0,
7728879083,2023,moscow city,46.69.90,,,,,,,9.0,1.0,0.0,0.0,,,,,,
7203210486,2023,tyumen,41.20,0.0,-10.0,116655.0,-10193.0,31323.0,-278.0,15.0,1.0,1.0,0.0,4632.0,13057.0,0.0,0.0,-10.0,2.0
1701060923,2023,tuva,94.99,,,0.0,0.0,,,5.0,1.0,1.0,0.0,,,,,,
7805782120,2023,sankt-petersburg,47.11,11357.0,-4437.0,1677.0,-6669.0,456.0,,2.0,1.0,1.0,0.0,2.0,7890.0,-9963.0,1394.0,-4323.0,
9715450766,2023,moscow city,82.99,,,,,,,0.0,1.0,0.0,0.0,,,,,,
4345267926,2023,kirov,71.11.10,25358.0,-7997.0,43913.0,25244.0,3178.0,,14.0,1.0,1.0,0.0,492.0,15491.0,-29247.0,-3889.0,-7541.0,
5406317262,2023,novosibirsk,42.13,,,,,,,18.0,1.0,0.0,0.0,,,,,,
8603199373,2023,khanty-mansijsk,93.11,118718.0,26197.0,59002.0,49375.0,9627.0,,10.0,1.0,1.0,0.0,659.0,0.0,-89228.0,29490.0,30043.0,
5005016691,2023,moscow reg.,68.32.20,0.0,0.0,0.0,,,,30.0,1.0,1.0,0.0,,,,0.0,0.0,
2808004987,2023,amur,84.11.30,,,0.0,,,,1.0,0.0,0.0,0.0,,,,,,
2301100281,2023,krasnodar,41.20,,,798.0,798.0,,,4.0,1.0,1.0,0.0,100.0,,,,,
7814792460,2023,sankt-petersburg,47.91,758.0,147.0,202.0,148.0,54.0,,2.0,1.0,1.0,0.0,202.0,,-250.0,508.0,183.0,
9702004877,2023,moscow city,79.11,51.0,-255.0,190.0,166.0,24.0,,4.0,1.0,1.0,0.0,0.0,,-263.0,-212.0,-253.0,
5528047790,2023,omsk,81.22,13408.0,768.0,58264.0,42837.0,15427.0,,4.0,1.0,1.0,0.0,6021.0,0.0,-5973.0,7435.0,904.0,
2601006191,2023,stavropol,84.25.90,,,,,,,2.0,1.0,0.0,0.0,,,,,,
9724075085,2023,moscow city,41.20,,,,,,,1.0,1.0,0.0,0.0,,,,,,
2462076551,2023,krasnoyarsk,07.29.41,,,0.0,,,,0.0,0.0,1.0,0.0,,,,,,
0274990575,2023,bashkortostan,94.99,,,0.0,,,,12.0,1.0,1.0,0.0,,,,,,
5504094448,2023,omsk,71.20,6840.0,105.0,1383.0,-2113.0,3396.0,,19.0,1.0,1.0,0.0,358.0,100.0,-6493.0,347.0,310.0,
5410098856,2023,novosibirsk,46.69.10,7250.0,2754.0,2765.0,2765.0,,,1.0,1.0,1.0,0.0,191.0,,-3963.0,3287.0,3240.0,
7727691138,2023,moscow city,47.10,,,,,,,14.0,1.0,0.0,0.0,,,,,,
1644053035,2023,tatarstan,28.12,7069.0,288.0,2893.0,2531.0,362.0,,8.0,1.0,1.0,0.0,578.0,0.0,-1390.0,700.0,362.0,
6501312555,2023,sakhalin,47.11,115483.0,17.0,142112.0,6451.0,42217.0,294703.0,2.0,1.0,1.0,0.0,5086.0,,-78159.0,-24203.0,2650.0,294703.0
1841045499,2023,udmurtia,81.10,,,,,,,9.0,1.0,0.0,0.0,,,,,,
3525384909,2023,vologda,88.10,0.0,-101.0,4.0,,,,7.0,1.0,1.0,0.0,4.0,,-4.0,-4.0,-101.0,
7730230313,2023,moscow city,93.29,,,,,,,6.0,1.0,0.0,0.0,,,,,,
2536970597,2023,primorsky terr.,94.99,,,0.0,0.0,,,11.0,1.0,1.0,0.0,,,,,,
1000010843,2023,karelia,46.90,,-593.0,3941.0,-583.0,4525.0,,0.0,1.0,1.0,0.0,558.0,,,,-3.0,
2618023364,2023,stavropol,46.90,2163.0,113.0,1078.0,1078.0,0.0,,5.0,1.0,1.0,0.0,783.0,,-1920.0,243.0,243.0,
6320075126,2023,samara,41.20,,0.0,10.0,10.0,,,0.0,1.0,1.0,0.0,10.0,,,,,0.0
5032315683,2023,moscow reg.,46.73,26804.0,-16639.0,22820.0,-24046.0,46866.0,,3.0,1.0,1.0,0.0,101.0,,-42590.0,-15786.0,-16639.0,
7736226183,2023,moscow city,81.30,,,32454.0,-1582.0,1029.0,,21.0,1.0,1.0,0.0,3.0,33008.0,,,,
1655026153,2023,tatarstan,68.30,1685.0,843.0,8485.0,7883.0,602.0,,23.0,1.0,1.0,0.0,344.0,,,946.0,912.0,
0721010083,2023,kabardino-balkaria,80.10,34.0,-1.0,31737.0,29727.0,0.0,,18.0,1.0,1.0,0.0,45.0,2010.0,-28.0,6.0,0.0,
7604274180,2023,yaroslavl,41.20,,,,,,,8.0,1.0,0.0,0.0,,,,,,
7104504397,2023,tula,73.11,22577.0,1438.0,3735.0,991.0,2744.0,,15.0,1.0,1.0,0.0,37.0,,-20885.0,1692.0,1692.0,
6230016736,2023,ryazan,71.10,3759.0,46.0,342.0,282.0,60.0,,18.0,1.0,1.0,0.0,0.0,,-3483.0,276.0,186.0,
3700008272,2023,ivanovo,47.19,,,,,,,0.0,1.0,0.0,0.0,,,,,,
3525475627,2023,vologda,25.11,8699.0,1236.0,11463.0,2927.0,8536.0,,2.0,1.0,1.0,0.0,163.0,,-6869.0,1830.0,1794.0,
2311277249,2023,krasnodar,46.21.11,,0.0,12.0,12.0,,,5.0,1.0,1.0,0.0,12.0,,,,0.0,
9715435006,2023,moscow city,46.90,,,,,,,1.0,1.0,0.0,0.0,,,,,,
4024016582,2023,kaluga,49.41,16943.0,220.0,7977.0,575.0,7402.0,,5.0,1.0,1.0,0.0,5893.0,,-17135.0,-192.0,275.0,
3812113934,2023,irkutsk,79.11,3591.0,38.0,1674.0,10.0,1314.0,,8.0,1.0,1.0,0.0,979.0,350.0,-3290.0,301.0,144.0,
6234171309,2023,ryazan,43.29,,,,,,,6.0,1.0,0.0,0.0,,,,,,
6732202013,2023,smolensk,47.75,,,,,,,3.0,1.0,0.0,0.0,,,,,,
6451011493,2023,saratov,66.22,1058.0,39.0,54.0,49.0,5.0,,6.0,1.0,1.0,0.0,54.0,,-961.0,97.0,71.0,
6663020179,2023,sverdlovsk,47.20,24585.0,-424.0,16909.0,16315.0,594.0,,29.0,1.0,1.0,0.0,519.0,,-22967.0,1618.0,-170.0,
6625013847,2023,sverdlovsk,01.10,,,0.0,0.0,,,30.0,1.0,1.0,0.0,,,,,,
7727172647,2023,moscow city,84.25.10,63291.0,23947.0,27332.0,23962.0,3354.0,,8.0,1.0,1.0,0.0,27322.0,16.0,-34011.0,27425.0,27390.0,
5753050352,2023,oryol,46.69.50,28756.0,4059.0,35888.0,9417.0,26471.0,,14.0,1.0,1.0,0.0,1736.0,0.0,-24440.0,4316.0,4059.0,
4028042569,2023,kaluga,46.73,,,,,,,15.0,1.0,0.0,0.0,,,,,,
1673003286,2023,tatarstan,43.29,,,,,,,1.0,1.0,0.0,0.0,,,,,,
7728324941,2023,moscow city,86.21,194770.0,31491.0,56532.0,32024.0,24508.0,,8.0,1.0,1.0,0.0,3503.0,0.0,-140576.0,49202.0,40552.0,0.0
2308193246,2023,krasnodar,46.90,,,,,,,11.0,1.0,0.0,0.0,,,,,,
2524005874,2023,primorsky terr.,01.10,,,0.0,,,,25.0,1.0,1.0,0.0,,,,,,
9719006520,2023,moscow city,43.21,,,,,,,3.0,1.0,0.0,0.0,,,,,,
5029218640,2023,moscow reg.,47.11,19323.0,66.0,2485.0,584.0,1901.0,,6.0,1.0,1.0,0.0,143.0,,-19064.0,259.0,259.0,
5402077549,2023,novosibirsk,42.11,167056.0,781.0,55514.0,696.0,54818.0,12390.0,0.0,1.0,1.0,0.0,9200.0,0.0,-53617.0,1025.0,1003.0,15490.0
5501240725,2023,omsk,56.10,,,,,,,11.0,1.0,0.0,0.0,,,,,,
9729213606,2023,moscow city,64.19,,,0.0,0.0,,,6.0,1.0,1.0,0.0,,,,,,
5446111395,2023,novosibirsk,35.30,331950.0,824.0,162178.0,43085.0,97943.0,30401.0,22.0,1.0,1.0,0.0,26905.0,,-302148.0,8215.0,1120.0,27355.0
7811770518,2023,sankt-petersburg,56.10.10,,,,,,,1.0,1.0,0.0,0.0,,,,,,
2363000294,2023,krasnodar,49.41,,,10.0,10.0,,,5.0,1.0,0.0,0.0,10.0,,,,,
2632116797,2023,stavropol,85.42,83735.0,1262.0,22036.0,-1494.0,23530.0,,3.0,1.0,1.0,0.0,257.0,,-78089.0,5646.0,5554.0,
0726015409,2023,kabardino-balkaria,68.32.10,,0.0,1.0,,1.0,,7.0,1.0,1.0,0.0,1.0,,-57.0,-57.0,0.0,
5834128416,2023,penza,71.12,496.0,2.0,133.0,46.0,87.0,,1.0,1.0,1.0,0.0,120.0,,-492.0,4.0,2.0,
0561050906,2023,dagestan,64.91,70525.0,2848.0,1328099.0,744084.0,122701.0,-4657.0,19.0,1.0,1.0,0.0,1016.0,,-48469.0,630.0,3503.0,-127.0
6166055171,2023,rostov,68.20.20,,,,,,,18.0,1.0,0.0,0.0,,,,,,
7714482257,2023,moscow city,46.71,916.0,102.0,391.0,121.0,270.0,,1.0,1.0,1.0,0.0,233.0,,-774.0,142.0,128.0,
5908029758,2023,perm,52.21.24,,,,,,,19.0,1.0,0.0,0.0,,,,,,
3443097572,2023,volgograd,22.20,,,,,,,13.0,1.0,0.0,0.0,,,,,,
6319715406,2023,samara,45.20.20,5706.0,237.0,2949.0,2772.0,177.0,,14.0,1.0,1.0,0.0,722.0,0.0,-4960.0,746.0,408.0,
7500001654,2023,zabaikalsk terr.,07.29.41,103737.0,18993.0,29669.0,19273.0,9954.0,,1.0,1.0,1.0,0.0,9137.0,441.0,-78694.0,25043.0,23855.0,
2462074089,2023,krasnoyarsk,43.31,,,,,,,1.0,1.0,0.0,0.0,,,,,,
7733726710,2023,moscow city,46.40,65058.0,58971.0,225364.0,223989.0,1375.0,,13.0,1.0,1.0,0.0,4560.0,,-9309.0,55749.0,62654.0,
5257169449,2023,nizhni novgorod,46.73.40,31028.0,245.0,14053.0,1942.0,12111.0,,6.0,1.0,1.0,0.0,983.0,,-30706.0,322.0,307.0,
1831190017,2023,udmurtia,71.12.20,130654.0,-26499.0,135765.0,-12282.0,12585.0,,5.0,1.0,1.0,0.0,2364.0,135462.0,-97965.0,32689.0,-24997.0,
7816730950,2023,sankt-petersburg,46.62,431487.0,8499.0,160405.0,14043.0,146086.0,,1.0,1.0,1.0,0.0,45229.0,,-391836.0,39651.0,10627.0,
4101078346,2023,kamchatka,68.20,28598.0,5725.0,38905.0,28756.0,10149.0,,27.0,1.0,1.0,0.0,197.0,,-23012.0,5586.0,6032.0,0.0
7813623100,2023,yamal-nenets ao,46.71,,,13.0,13.0,,,5.0,1.0,1.0,0.0,10.0,,,,,
6382077003,2023,samara,52.29,1631.0,71.0,3698.0,1633.0,2065.0,,5.0,1.0,1.0,0.0,0.0,,-1469.0,-318.0,89.0,
7814623342,2023,sankt-petersburg,33.12,42988.0,3635.0,46491.0,42987.0,2479.0,,9.0,1.0,1.0,0.0,3497.0,0.0,-24074.0,4590.0,4258.0,
3617008870,2023,voronezh,52.10.30,0.0,2.0,1138.0,1131.0,7.0,,4.0,1.0,1.0,0.0,89.0,0.0,-3.0,-3.0,18.0,
5904406236,2023,perm,22.23,1491.0,56.0,1264.0,30.0,1234.0,,0.0,1.0,1.0,0.0,,,-1407.0,84.0,70.0,
7719195672,2023,moscow city,45.31,141669.0,65655.0,268192.0,147205.0,116287.0,0.0,24.0,1.0,1.0,0.0,18955.0,4700.0,-96386.0,45283.0,54712.0,0.0
6382082885,2023,samara,41.20,,,,,,,2.0,1.0,0.0,0.0,,,,,,
6161099979,2023,rostov,70.22,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,
5032311625,2023,moscow reg.,43.33,3610.0,124.0,1891.0,-1636.0,3527.0,,4.0,1.0,1.0,0.0,599.0,,-2249.0,1361.0,124.0,
2336025035,2023,krasnodar,70.22,,,,,,,7.0,1.0,0.0,0.0,,,,,,
4230029717,2023,kemerovo,01.11.10,,,,,,,8.0,1.0,0.0,0.0,,,,,,
6950239831,2023,tver,71.12,,-75.0,2614.0,-610.0,3224.0,,3.0,1.0,1.0,0.0,-10.0,,-772.0,-772.0,-75.0,
7327026024,2023,ulyanovsk,46.33.10,3969.0,155.0,6749.0,5424.0,1325.0,,22.0,1.0,1.0,0.0,395.0,,-3682.0,287.0,194.0,
9728047586,2023,moscow city,43.22,,,,,,,2.0,1.0,0.0,0.0,,,,,,
6317155445,2023,samara,46.49.40,,,,,,,2.0,1.0,0.0,0.0,,,,,,
9724157080,2023,moscow city,68.32,,,10.0,10.0,,,0.0,0.0,1.0,0.0,10.0,,,,,
5403030582,2023,novosibirsk,22.22,58819.0,1417.0,19074.0,9444.0,9630.0,,6.0,1.0,1.0,0.0,428.0,,-56998.0,1821.0,1772.0,
5047172942,2023,moscow reg.,56.10,,,,,,,8.0,1.0,0.0,0.0,,,,,,
7702030249,2023,moscow city,43.21,36562.0,-5717.0,54339.0,45197.0,9142.0,,30.0,1.0,1.0,0.0,4057.0,,-17344.0,-4399.0,-4633.0,
2225199212,2023,moscow city,69.10,9755.0,403.0,1157.0,1143.0,14.0,,4.0,1.0,1.0,0.0,527.0,,-8008.0,609.0,510.0,
5029119880,2023,moscow reg.,47.71.10,,,,,,,15.0,1.0,0.0,0.0,,,,,,
6671290210,2023,sverdlovsk,61.10,,0.0,10.0,10.0,,,0.0,0.0,0.0,0.0,1.0,,,,,
2311294928,2023,krasnodar,56.10,,,,,,,4.0,1.0,0.0,0.0,,,,,,
0268014624,2023,bashkortostan,94.20,,,3.0,3.0,,,20.0,1.0,1.0,0.0,3.0,,,,,
8905053476,2023,yamal-nenets ao,01.13.10,,0.0,135.0,135.0,,,11.0,1.0,1.0,0.0,135.0,,,,,
3525115173,2023,vologda,41.20,1440388.0,24928.0,1341425.0,118292.0,1139815.0,-479836.0,22.0,1.0,1.0,0.0,464742.0,0.0,-1364698.0,40679.0,48539.0,-473473.0
7606126526,2023,yaroslavl,47.52.10,33850.0,2321.0,5096.0,4903.0,193.0,,2.0,1.0,1.0,0.0,1186.0,,-31001.0,2849.0,2730.0,
3812999896,2023,irkutsk,49.42,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,
5250073152,2023,nizhni novgorod,87.20,0.0,0.0,0.0,,,,3.0,1.0,1.0,0.0,,,0.0,,0.0,
4329017870,2023,kirov,68.32.10,,,2502.0,2502.0,,,8.0,1.0,1.0,0.0,2502.0,,,,,0.0
6213008534,2023,ryazan,41.20,7693.0,-15.0,0.0,0.0,0.0,,15.0,1.0,1.0,0.0,0.0,,-7623.0,70.0,-15.0,
7724328247,2023,moscow city,47.43,6156.0,2578.0,11701.0,7273.0,2737.0,,8.0,1.0,1.0,0.0,18.0,1690.0,-1260.0,3371.0,3222.0,
5047270869,2023,moscow reg.,78.30,,,,,,,1.0,1.0,0.0,0.0,,,,,,
4705073774,2023,leningrad,68.32.20,,,0.0,0.0,,,6.0,1.0,1.0,0.0,0.0,,,,,
9703023431,2023,moscow city,81.10,,,,,,,3.0,1.0,0.0,0.0,,,,,,
5260271900,2023,nizhni novgorod,33.12,84940.0,419.0,37093.0,5009.0,32084.0,,13.0,1.0,1.0,0.0,747.0,,-83952.0,830.0,524.0,
7017409330,2023,tomsk,47.78,39050.0,2122.0,46485.0,23967.0,22518.0,,7.0,1.0,1.0,0.0,89.0,,-35036.0,4014.0,2535.0,
4205354047,2023,kemerovo,43.99,,,,,,,6.0,1.0,0.0,0.0,,,,,,
7842198989,2023,sankt-petersburg,45.31,,,,,,,2.0,1.0,0.0,0.0,,,,,,
7017106449,2023,tomsk,64.92.60,,,,,,,19.0,1.0,0.0,0.0,,,,,,
7721807259,2023,moscow city,73.11,,-16.0,397.0,-264.0,661.0,,10.0,1.0,1.0,0.0,99.0,,-16.0,-16.0,-16.0,
9704072992,2023,moscow city,46.73,,,,,,,2.0,1.0,0.0,0.0,,,,,,
2927003005,2023,arkhangelsk,68.20.20,5192.0,1954.0,10976.0,10581.0,395.0,,25.0,1.0,1.0,0.0,73.0,,-3076.0,2116.0,2113.0,
5001102090,2023,moscow reg.,49.30,,,,,,,8.0,1.0,0.0,0.0,,,,,,
7721403175,2023,moscow city,47.59.10,,,,,,,8.0,1.0,0.0,0.0,,,,,,
7718883370,2023,moscow city,47.91.20,,,,,,,11.0,1.0,0.0,0.0,,,,,,
9727008506,2023,moscow city,43.91,,-103.0,0.0,-93.0,22.0,,1.0,1.0,1.0,0.0,,71.0,-103.0,-103.0,-103.0,
5077017422,2023,moscow reg.,01.10,,,,,,,18.0,1.0,0.0,0.0,,,,,,
5074031588,2023,moscow city,68.32,,,,,,,18.0,1.0,0.0,0.0,,,,,,
6027088821,2023,pskov,41.20,300.0,282.0,282.0,0.0,282.0,,18.0,1.0,1.0,0.0,0.0,0.0,0.0,300.0,300.0,
6455074159,2023,saratov,46.69.50,11288.0,407.0,3615.0,919.0,2696.0,,3.0,1.0,1.0,0.0,0.0,,-10727.0,561.0,510.0,
7449014298,2023,chelyabinsk,68.20,10087.0,-10401.0,19258.0,-11926.0,20434.0,,27.0,1.0,1.0,0.0,15.0,10750.0,0.0,-9946.0,-9956.0,
5027197106,2023,moscow reg.,47.73,,,,,,,10.0,1.0,0.0,0.0,,,,,,
7606115806,2023,yaroslavl,62.01,,-1.0,7.0,-9.0,0.0,,6.0,1.0,1.0,0.0,1.0,16.0,-1.0,-1.0,-1.0,
7816682417,2023,sankt-petersburg,46.65,,,0.0,,,,5.0,1.0,1.0,0.0,,,,,,
7017425639,2023,tomsk,46.77,,,591.0,-5814.0,6405.0,,6.0,1.0,1.0,0.0,,,,,,
6311181456,2023,samara,41.20,13775.0,292.0,11365.0,1089.0,10276.0,,5.0,1.0,1.0,0.0,143.0,,-13413.0,362.0,365.0,
5262058046,2023,nizhni novgorod,71.11.10,,,0.0,,,,26.0,1.0,0.0,0.0,,,,,,
6680000736,2023,sverdlovsk,52.21.24,,,0.0,,,,11.0,1.0,1.0,0.0,,,,,,
8603194551,2023,chuvashia,49.41.10,30300.0,8941.0,28967.0,15211.0,13719.0,,11.0,1.0,1.0,0.0,34.0,,-41095.0,-10795.0,11180.0,
7723807078,2023,moscow city,14.19,,,,,,,12.0,1.0,0.0,0.0,,,,,,
2901197074,2023,arkhangelsk,46.75.20,1157.0,319.0,2764.0,2281.0,483.0,,14.0,1.0,1.0,0.0,78.0,,-782.0,375.0,375.0,
1102053268,2023,komi,45.11.10,,,2.0,-8.0,10.0,,17.0,1.0,1.0,0.0,2.0,,,,,
8604047905,2023,khanty-mansijsk,42.21,1108250.0,41984.0,1273104.0,472450.0,658292.0,-111152.0,13.0,1.0,1.0,0.0,23904.0,,-1003157.0,46716.0,52832.0,-96336.0
2222871154,2023,altai terr.,62.01,,,,,,,5.0,1.0,0.0,0.0,,,,,,
3528326630,2023,vologda,68.32,,,2100.0,,2100.0,,2.0,1.0,1.0,0.0,1463.0,,,,,
0300013353,2023,buryatia,33.13,,,,,,,0.0,1.0,0.0,0.0,,,,,,
5043059745,2023,moscow reg.,41.20,,,,,,,7.0,1.0,0.0,0.0,,,,,,
